text,label
Home,1
Self Improvement,1
Mental Health,1
Inspirational Stories,1
Motivational Quotes,1
Start Ups,1
Spiritualism,1
“It’s amazing how someone can break your heart and you can still love them with all the little pieces.” ~ Ella Harper,1
"“Never feel regret for your own decisions. If, you will not respect your own decisions, who else will?” ~ Invajy",1
"“I always like walking in the rain, so no one can see me crying.” ~ Charlie Chaplin",1
"“I know how to love you, but not how to stop loving you.” ~ Invajy",1
“Sadness flies away on the wings of time.” ~ Jean de La Fontaine,1
“There are years that ask questions and years that answer.” ~ Zora Neale Hurston,1
"“Be strong now because things will get better. It might be stormy now, but it can’t rain forever” ~ Anonymous",1
"“I do believe that if you haven’t learnt about sadness, you cannot appreciate happiness.” ~ Nana Mouskouri",1
“Maybe we all have darkness inside of us and some of us are better at dealing with it than others.” ~ Jasmine Warga,1
"“Don’t cry because it’s over, smile because it happened.” ~ Dr. Seuss",1
"“To have been loved so deeply, even though the person who loved us is gone, will give us some protection forever.” ~ J.K. Rowling",1
"“It is sad not to love, but it is much sadder not to be able to love.” ~ Miguel de Unamuno",1
"“There are two types of people in the world: Those who prefer to be sad among others, and those who prefer to be sad alone.” ~ Nicole Krauss ",1
"“So it’s true, when all is said and done, grief is the price we pay for love.” ~ E.A. Bucchianeri",1
“Relationship is like a glass. Sometimes it’s better to leave it broken instead of hurting yourself while trying to put them back together.” ~ Anonymous,1
"“Nothing can cure the soul but the senses, just as nothing can cure the senses but the soul.” ~ Oscar Wilde",1
"“First, accept sadness. Realize that without losing, winning isn’t so great.” ~ Alyssa Milano",1
“Don’t cry over someone who wouldn’t cry over you.” ~ Lauren Conrad,1
“The word ‘happy’ would lose its meaning if it were not balanced by sadness.” ~ Carl Jung,1
“Tears are words that need to be written.” ~ Paulo Coelho,1
"“Every life has a measure of sorrow, and sometimes this is what awakens us.” ~ Steven Tyler",1
"“You meet everyone twice in this life, when they come and when they go.” ~ C.C Aurel",1
“One thing you can’t hide is when you’re crippled inside.” ~ John Lennon,1
“Things change. And friends leave. Life doesn’t stop for anybody.” ~ Stephen Chbosky,1
"“People keep telling me that life goes on, but to me that’s the saddest part.” ~ Anonymous",1
“Life’s under no obligation to give us what we expect. We take what we get and are thankful it’s no worse than it is.” ~ Margaret Mitchell,1
“Life is a moderately good play with a badly written third act.” ~ Truman Capote,1
“The good life is not one immune to sadness but one in which suffering contributes to our development.” ~ Alain de Botton,1
“Never be afraid of tears. Tear-filled eyes are capable of seeing truth. Tear-filled eyes are capable of seeing the beauty of life.” ~ Osho,1
“To have felt too much is to end in feeling nothing.” ~ Dorothy Thompson,1
"“There is one pain, I often feel, which you will never know. It’s caused by the absence of you.” ~ Ashleigh Brilliant",1
“With some pain is fraught; Our sweetest songs are those that tell of saddest thought.” ~ Percy Bysshe Shelley,1
“Our dead are never dead to us until we have forgotten them.” ~ George Eliot,1
"“Experiencing sadness and anger can make you feel more creative, and by being creative you can get beyond your pain or negativity.” ~ Yoko Ono",1
"“When you’ve suffered a great deal in life, each additional pain is both unbearable and trifling.” ~ Yann Martel",1
“Learning is a gift. Even when pain is your teacher.” ~ Maya Watson,1
"“What brings us to tears, will lead us to grace. Our pain is never wasted.” ~ Bob Goff",1
“Our greatest joy and our greatest pain come in our relationships with others.” ~ Stephen R. Covey,1
"“There is a distinct, awful pain that comes with loving someone more than they love you.” ~ Steve Maraboli",1
"“Breathing is hard. When you cry so much, it makes you realize that breathing is hard.” ~ David Levithan",1
"“There is no despair so absolute as that which comes with the first moments of our first great sorrow, when we have not yet known what it is to have suffered and be healed, to have despaired and have recovered hope.” ~ George Eliot",1
"“Breathing is hard. When you cry so much, it makes you realize that breathing is hard.” ~ David Levithan",1
"“There are moments when I wish I could roll back the clock and take all the sadness away, but I have a feeling that if I did, the joy would be gone as well. So, I take the memories as they come, accepting them all, letting them guide me whenever I can.” ~ Nicholas Sparks",1
"“Worry never robs tomorrow of its sorrow, it only saps today of its joy.” ~ Leo Buscaglia",1
"“It is the unknown we fear when we look upon death and darkness, nothing more.” ~ J.K. Rowling",1
"“We’re taught to be ashamed of confusion, anger, fear, and sadness, and to me, they’re of equal value to happiness, excitement, and inspiration.” ~ Alanis Morrisette",1
“Death is not the greatest loss in life. The greatest loss is what dies inside us while we live.” ~ Norman Cousins,1
“Sad hurts but it’s a healthy feeling. It is a necessary thing to feel.” ~ J.K. Rowling,1
“The bitterest tears shed over graves are for words left unsaid and deeds left undone.” ~ Harriet Beecher Stowe,1
"“Behind every sweet smile, there is a bitter sadness that no one can ever see and feel.” ~ Tupac Shakur",1
"“Some days are just bad days, that’s all. You have to experience sadness to know happiness, and I remind myself that not every day is going to be a good day, that’s just the way it is!” ~ Dita Von Teese",1
“In deep sadness there is no place for sentimentality.” ~ William S. Burroughs,1
 “Two possibilities exist: either we are alone in the Universe or we are not. Both are equally terrifying.” ~ Arthur C. Clarke,1
“Sadness is but a wall between two gardens.” ~ Kahlil Gibran,1
“One must not let oneself be overwhelmed by sadness.” ~ Jacqueline Kennedy-Onassis,1
“Sadness is also a kind of defense.” ~ Ivo Andrich,1
“The walls we build around us to keep sadness out also keeps out the joy.” ~ Jim Rohn,1
"“Every human walks around with a certain kind of sadness. They may not wear it on their sleeves, but it’s there if you look deep.” ~ Taraji P. Henson",1
"“We never taste happiness in perfection, our most fortunate successes are mixed with sadness.” ~ Pierre Corneille",1
“Sadness usually results from one of the following causes either when a man does not succeed or is ashamed of his success.” ~ Seneca,1
“So much sadness exists in the world that we are all under obligation to contribute as much joy as lies within our powers.” ~ Rev. Dr. John Sutherland Bonnell,1
"“Make the most of your regrets; never smother your sorrow, but tend and cherish it till it comes to have a separate and integral interest. To regret deeply is to live afresh.” ~ Henry David Thoreau",1
“Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad.” ~ Henry Wadsworth Longfellow,1
"“You see, I usually find myself among strangers because I drift here and there trying to forget the sad things that happened to me.” ~ F. Scott Fitzgerald",1
"“A million words would not bring you back, I know because I tried, neither would a million tears, I know because I cried.” ~ Anonymous",1
“Better by far you should forget and smile than that you should remember and be sad.” ~ Christina Rossetti,1
“Don’t grieve. Anything you lose comes round in another form.” ~ Rumi,1
“It is sadder to find the past again and find it inadequate to the present than it is to have it elude you and remain forever a harmonious conception of memory.” ~ F. Scott Fitzgerald,1
“Your silence hurt me more than your words.” ~ Invajy,1
"“It will never rain roses: when we want to have more roses, we must plant more roses.” ~ George Eliot",1
"“The good times of today, are the sad thoughts of tomorrow.” ~ Bob Marley",1
“It’s sad when someone you know becomes someone you knew.” ~ Henry Rollins,1
“Tears come from the heart and not from the brain.” ~ Leonardo da Vinci,1
"“Grief is not as heavy as guilt, but it takes more away from you.” ­~ Veronica Roth",1
"“When you feel sad, it’s okay. It’s not the end of the world.” ~ Mac Miller",1
“It doesn’t hurt to feel sad from time to time.” ~ Willie Nelson,1
“Melancholy is the happiness of being sad.” ~ Victor Hugo,1
“Sad things happen. They do. But we don’t need to live sad forever.” ~ Mattie Stepanek,1
"“You know, a heart can be broken, but it keeps on beating, just the same.” ~ Fannie Flagg",1
"“Don’t ever tell anybody anything. If you do, you start missing everybody.” ~ J.D. Salinger",1
"“There is no sadder sight than a young pessimist, except an old optimist.” ~ Mark Twain",1
"“As the light begins to intensify, so does my misery, and I wonder how it is possible to hurt so much when nothing is wrong.” ~ Tabitha Suzuma",1
“Sometimes you’ve got to be able to listen to yourself and be okay with no one else understanding.” ~ Anonymous,1
“Tears are words the mouth can’t say nor can the heart bear.” ~ Joshua Wisenbaker,1
"“Heavy hearts, like heavy clouds in the sky, are best relieved by the letting of a little water.” ~ Christopher Morley",1
“There is no worse sorrow than remembering happiness in the day of sorrow.” ~ Alfred de Musset,1
“Sorrow is one of the vibrations that prove the fact of living.” ~ Antoine de Saint-Exupery,1
"“For all sad words of tongue and pen, the saddest are these, ‘It might have been.’” ~ John Greenleaf Whittier",1
"“When you’re happy, you enjoy the music but when you’re sad, you understand the lyrics.” ~ Frank Ocean",1
"“People cry, not because they are weak. It is because they’ve been strong for too long.” ~ Johnny Depp",1
"“Boredom, anger, sadness, or fear are not ‘yours,’ not personal. They are conditions of the human mind. They come and go. Nothing that comes and goes is you.” ~ Eckhart Tolle",1
“He who has felt the deepest grief is best able to experience supreme happiness.” ~ Alexandre Dumas,1
“What is hardest to accept about the passage of time is that the people who once mattered the most to us wind up in parentheses.” ~ John Irving,1
“The sky cries for those filled with sadness.” ~ Sonya Watson,1
 “Sadness is the ambrosia of all art.” ~ Frances Fong,1
“Your greatest highs come from overcoming your greatest lows.” ~ Matshona Dhliwayo,1
"“When I despair, I remember that all through history the way of truth and love have always won.” ~ Mahatma Gandhi",1
“You cannot protect yourself from sadness without protecting yourself from happiness.” ~ Jonathan Safran Foer,1
“Any fool can be happy. It takes a man with real heart to make beauty out of the stuff that makes us weep.” ~ Clive Barker,1
"“We must understand that sadness is an ocean, and sometimes we drown, while other days we are forced to swim.” ~ R.M. Drake",1
"
Depression Quotes
",1
"
Loneliness Quotes
",1
"
Comeback Quotes
",1
"
Narcissist Quotes
",1
"
Moving On Quotes
",1
"
Recovery and Addiction Quotes
",1
"
Life Lessons Quotes
",1
